917,243,(636|592),7.1433573,[232|237|217]
917,302,(780|600),6.8046484,[225|226|205]
917,13,(646|776),7.307254,[201|206|192]
917,199,(543|636),6.4617934,[215|217|193]
917,97,(842|833),6.4699264,[199|198|177]
917,96,(4|644),7.1372027,[151|160|145]
917,127,(701|695),6.261415,[208|212|195]
917,302,(484|734),6.82272,[154|147|119]
917,284,(580|522),5.461223,[214|210|182]
917,198,(357|562),6.9051666,[154|139|109]
917,58,(1|145),8.154819,[145|85|35]
917,230,(865|684),5.742054,[214|213|191]
917,304,(404|215),4.9809704,[198|140|94]
917,78,(724|296),7.4521275,[122|63|31]
917,199,(692|539),6.146785,[217|215|190]
917,351,(143|234),8.480025,[113|59|30]
917,184,(71|811),7.5768447,[85|88|67]
1764,350,(80|534),7.423326,[123|100|54]
917,33,(660|131),7.9654803,[110|53|29]
1764,94,(358|433),4.58126,[137|142|130]
1764,255,(487|509),5.2009754,[177|150|108]
917,306,(384|826),3.5811849,[177|174|146]
917,148,(256|107),5.0731235,[111|61|31]
917,58,(633|862),3.9551146,[208|213|199]
917,159,(380|752),3.8444884,[166|149|109]
917,99,(0|0),5.6438646,[132|68|31]
917,264,(782|427),5.4612956,[105|47|28]
1764,227,(634|450),2.932199,[177|146|103]
917,47,(515|0),5.158968,[101|52|30]
917,176,(278|0),5.5725374,[100|48|28]
917,71,(99|618),3.658457,[111|122|110]
917,70,(558|792),4.0408087,[195|192|170]
917,299,(295|646),3.7796123,[93|88|65]
917,105,(116|82),5.3377337,[104|46|28]
917,357,(380|0),4.794494,[96|47|28]
1764,281,(563|859),3.3148925,[155|152|128]
917,54,(818|171),5.4331336,[92|39|27]
1764,224,(738|861),3.3972235,[107|97|67]
917,167,(217|392),5.1352715,[95|48|28]
917,98,(231|198),4.7092085,[111|60|31]
1764,160,(405|289),3.1628196,[197|120|68]
1764,355,(625|0),5.230763,[90|39|27]
917,59,(397|375),2.4336278,[145|153|144]
917,165,(786|44),5.3568387,[74|27|25]
917,92,(80|411),4.657121,[53|59|48]
917,86,(856|787),3.2444866,[221|225|207]
917,229,(186|470),4.16802,[88|51|30]
917,152,(628|235),4.5037217,[116|57|30]
917,251,(710|643),4.789332,[239|247|231]
917,260,(142|0),6.091591,[85|35|27]
917,142,(0|797),5.5101404,[86|88|67]
1764,69,(753|794),3.171508,[88|74|52]
917,291,(328|498),3.5198233,[177|182|164]
917,305,(819|482),4.93655,[97|46|32]
917,215,(45|253),3.9214454,[133|74|33]
917,268,(680|820),3.633975,[220|227|217]
917,22,(838|318),4.3560243,[99|42|28]
917,86,(732|177),4.3144555,[111|53|29]
917,335,(593|656),3.8698387,[233|238|220]
1764,260,(453|787),4.2707644,[98|90|67]
917,228,(567|82),4.2644,[100|46|28]
1753,293,(426|643),2.7407165,[223|227|201]
917,157,(180|595),2.8200688,[92|87|66]
917,178,(681|885),2.4638991,[205|206|184]
917,241,(686|724),2.8234308,[165|166|147]
917,33,(846|0),4.9654107,[76|29|26]
917,7,(706|7),4.2960544,[78|29|26]
917,123,(833|248),3.798686,[92|40|27]
917,32,(155|332),4.5112305,[104|51|28]
917,86,(631|316),3.384216,[100|54|29]
1764,90,(400|176),2.4100323,[245|191|138]
917,84,(485|210),3.3473806,[25|18|17]
1764,170,(370|663),3.0207756,[91|84|69]
