917,269,(4|253),9.964151,[12|12|12]
917,188,(413|0),8.744873,[30|30|30]
917,105,(427|112),6.629817,[19|19|19]
917,268,(155|75),8.444338,[41|41|41]
1764,261,(317|301),6.4209466,[15|15|15]
917,95,(296|37),4.6630707,[5|5|5]
917,308,(134|212),5.759204,[21|21|21]
917,137,(0|383),8.705671,[22|22|22]
1766,297,(115|327),5.0768347,[48|48|48]
917,225,(274|398),5.782576,[2|2|2]
1767,97,(465|285),3.781303,[18|18|18]
1764,84,(128|110),5.136505,[5|5|5]
1766,24,(425|368),3.8690493,[26|26|26]
1764,282,(0|227),7.610174,[1|1|1]
1766,175,(339|309),6.781141,[4|4|4]
917,71,(401|127),4.965084,[8|8|8]
1767,13,(443|227),2.8466442,[21|21|21]
1767,334,(304|130),2.6825254,[14|14|14]
1753,10,(112|160),3.5311425,[6|6|6]
917,261,(467|107),4.4717145,[0|0|0]
1764,292,(227|29),3.6299355,[1|1|1]
1767,235,(389|208),2.9716368,[29|29|29]
917,46,(376|0),3.7776902,[0|0|0]
1767,73,(215|98),3.294364,[207|207|207]
917,107,(110|36),3.2281015,[1|1|1]
917,269,(184|400),1.7627758,[0|0|0]
917,99,(132|222),3.438209,[3|3|3]
917,266,(159|58),1.3113081,[209|209|209]
1767,106,(188|279),2.4538863,[39|39|39]
917,314,(84|164),2.6656475,[1|1|1]
1609,246,(267|227),2.583178,[16|16|16]
1753,90,(445|177),2.5806506,[0|0|0]
1767,143,(410|35),2.304862,[226|226|226]
1767,180,(166|400),4.712173,[0|0|0]
1764,173,(162|324),1.7669764,[4|4|4]
1766,285,(242|304),1.5305524,[247|247|247]
917,103,(324|280),4.8363132,[1|1|1]
917,349,(164|116),3.388878,[2|2|2]
1767,177,(218|208),2.1188836,[1|1|1]
1753,87,(438|187),2.7428737,[1|1|1]
917,148,(393|118),4.1190834,[0|0|0]
1767,147,(74|284),1.4839259,[254|254|254]
1764,8,(316|37),4.3175616,[0|0|0]
1767,308,(465|19),1.7118466,[225|225|225]
1608,270,(0|309),3.1778326,[0|0|0]
1764,332,(228|82),0.9432638,[231|231|231]
1767,6,(344|178),1.6106532,[53|53|53]
917,90,(105|62),3.1723685,[0|0|0]
917,92,(373|400),2.0636127,[6|6|6]
1753,108,(389|365),3.0928187,[4|4|4]
1764,245,(101|306),1.7434412,[11|11|11]
1767,91,(195|250),1.3358272,[3|3|3]
917,294,(154|262),1.7434657,[3|3|3]
1764,286,(115|127),4.1598077,[0|0|0]
1768,202,(284|185),1.9680114,[53|53|53]
1767,325,(362|74),1.3896469,[255|255|255]
1753,7,(329|125),1.6010112,[0|0|0]
1767,146,(331|117),2.272122,[4|4|4]
917,26,(296|340),4.5897536,[0|0|0]
1764,231,(138|22),1.9506185,[1|1|1]
1767,249,(453|173),2.608847,[3|3|3]
1768,272,(174|189),3.229452,[6|6|6]
917,265,(27|193),4.3301497,[0|0|0]
1753,263,(74|372),2.472473,[7|7|7]
1767,170,(175|58),1.715135,[246|246|246]
1608,137,(226|0),5.055895,[174|174|174]
1764,158,(235|34),3.8893995,[0|0|0]
1609,301,(171|0),3.8871856,[207|207|207]
